"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
10435,"Запорожье",700,400,"Designer",3,"0.25",,,24,"female","Высшее","ЗНТУ","False","ниже среднего","до 200 человек","Аутсорсинговая","Internet of Things, Інша"
10436,"Kyiv",700,0,"Project manager",2,1,,,24,"female","Высшее",,"False","продвинутый","до 50 человек","Стартап","E-commerce, Fintech, Gambling"
10437,"Луцк",700,200,"SysAdmin",10,1,,,36,"male","Высшее","Lvivская Политехника","False","средний","до 50 человек","Другая","Media, Security, Telecom"
10438,"Kyiv",700,0,"Junior Software Engineer",10,"0.5","Java",,39,"male","Высшее","КНУ им. Шевченко","False","ниже среднего","до 10 человек","Другая","Manufacturing"
10439,"Kyiv",700,350,"Marketing",1,1,,,21,"female","Высшее","Other вуз","False","продвинутый","до 200 человек","Аутстаффинговая","Fintech, Insurance, Telecom"
10440,"Чернигов",700,300,"Software Engineer",2,2,"JavaScript",,24,"female","Высшее","ЧНТУ","False","средний","до 200 человек","Аутсорсинговая","E-commerce, Mobile, Travel"
10441,"Kyiv",700,150,"HR",2,2,,,24,"female","Высшее","КНУТД","False","выше среднего","до 200 человек","Аутсорсинговая","GameDev"
10442,"Lviv",700,200,"QA Engineer",2,"0.5",,"General QA",32,"male","Высшее","Other вуз","False","средний","до 200 человек","Продуктовая","Logistics"
10443,"Kharkiv",700,0,"HR",4,0,,,26,"male","Высшее","НТУ «ХПИ»","False","средний","до 50 человек","Аутсорсинговая","Інша"
10444,"Kyiv",700,100,"Software Engineer",1,"0.25","1С",,24,"male","Высшее","ХНУ им. Каразина","False","элементарный","до 50 человек","Другая","E-commerce"
10445,"Odessa",700,400,"Software Engineer",1,"0.25","JavaScript",,18,"male","Среднее",,"False","выше среднего","до 50 человек","Аутстаффинговая","E-commerce"
10446,"Kyiv",700,100,"Software Engineer",2,"0.5","C#/.NET",,22,"male","Высшее","Other вуз","False","ниже среднего","до 1000 человек","Продуктовая","E-commerce"
10447,"Тернополь",700,150,"QA Engineer",2,1,,"Manual QA",23,"male","Высшее",,"False","средний","до 50 человек","Аутсорсинговая","E-commerce, Mobile"
10448,"Kyiv",700,200,"Junior Software Engineer",1,1,"Python",,21,"male","Еще студент","КНЭУ","True","выше среднего","до 50 человек","Аутстаффинговая","Media"
10449,"Kyiv",700,0,"Designer","0.5",2,,,22,"female","Высшее","КНУСА","False","выше среднего","до 10 человек","Аутсорсинговая","E-commerce, Fintech"
10450,"Kharkiv",700,600,"HR",3,5,,,26,"female","Два высших","ХНУ им. Каразина","False","средний","до 200 человек","Аутсорсинговая","Machine Learning, Mobile"
10451,"Kyiv",700,200,"HR",3,"0.5",,,25,"female","Два высших","Other вуз","False","ниже среднего","до 200 человек","Продуктовая","Telecom"
10452,"Чернигов",700,300,"HR",2,2,,,29,"female","Кандидат","Other вуз","False","продвинутый","до 200 человек","Продуктовая","E-commerce, High Load Systems"
10453,"Odessa",700,-300,"Software Engineer",3,0,"PHP",,32,"female","Высшее","Other вуз","False","средний","до 10 человек","Другая","Telecom"
10454,"Kyiv",700,0,"Project manager",4,2,,,31,"female","Два высших","Other вуз","False","средний","до 10 человек","Аутсорсинговая","Інша"
10455,"Lviv",700,0,"Business analyst",0,0,,,20,"female","Высшее","ЛНУ им. Франко","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Інша"
10456,"Kyiv",700,-1300,"QA Engineer",4,"0.25",,"Manual QA",28,"female","Два высших","ОНУ им. Мечникова","False","продвинутый","до 200 человек","Продуктовая","Mobile"
10457,"Kharkiv",700,300,"Software Engineer",1,1,"TypeScript",,18,"male","Еще студент","ХАИ","True","средний","до 10 человек","Стартап","E-commerce"
10458,"Kyiv",700,300,"Project manager",2,"0.5",,,26,"female","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Стартап","Edtech"
10459,"Kharkiv",700,200,"Designer",3,2,,,31,"male","Высшее","Other вуз","False","ниже среднего","до 200 человек","Аутсорсинговая","E-commerce, Fintech, Інша"
10460,"Mykolaiv",700,450,"Junior Software Engineer",1,1,"PHP",,21,"male","Еще студент","НУК","True","ниже среднего","до 10 человек","Аутсорсинговая","E-commerce, Media, Travel"
10461,"Lviv",700,0,"Junior Software Engineer",1,1,"Golang",,19,"male","Еще студент","Lvivская Политехника","True","средний","до 10 человек","Аутстаффинговая","Data Science, Machine Learning, Інша"
10462,"Kyiv",700,300,"Junior Software Engineer",1,"0.25","JavaScript",,23,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Продуктовая","Cloud Computing"
10463,"Kyiv",700,0,"Junior Software Engineer","0.25","0.25","JavaScript",,26,"male","Высшее","НАУ","False","выше среднего","до 50 человек","Аутсорсинговая","Gambling"
10464,"Lviv",700,140,"HR",2,2,,,23,"female","Техникум / Колледж",,"False","выше среднего","до 50 человек","Аутстаффинговая","AR/VR, Insurance"
10465,"Тернополь",700,100,"HR",4,1,,,28,"female","Два высших","Other вуз","False","средний","до 200 человек","Аутсорсинговая","Blockchain, E-commerce, Fintech"
10466,"Kyiv",700,0,"Marketing",4,1,,,26,"female","Высшее","ЛНУ им. Франко","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Internet of Things"
10467,"Хмельницкий",700,300,"QA Engineer",4,2,,"Manual QA",28,"female","Высшее","ХНУ [г. Хмельницкий]","False","средний","до 200 человек","Другая","Cloud Computing"
10468,"Kyiv",700,250,"Junior QA engineer",1,1,,"General QA",34,"male","Высшее","НАУ","False","средний","до 50 человек","Продуктовая","Automotive, Logistics"
10469,"Odessa",700,200,"Junior Software Engineer",1,0,"JavaScript",,22,"male","Высшее","ОНАС","False","ниже среднего","до 10 человек","Продуктовая","Logistics"
10470,"Kyiv",700,300,"Software Engineer",2,1,"Python",,19,"male","Еще студент","НТУУ «КПИ»","True","выше среднего","до 200 человек","Аутсорсинговая","Adtech"
10471,"Запорожье",700,50,"Copywriter",6,4,,,25,"female","Высшее","ЗНТУ","False","продвинутый","до 200 человек","Продуктовая","Fintech"
10472,"Kyiv",700,100,"HR",4,2,,,26,"female","Два высших","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутсорсинговая","AR/VR, Machine Learning, Telecom"
10473,"Lviv",700,500,"QA Engineer",1,"0.5",,"Manual QA",21,"female","Незаконченное высшее","ЛНУ им. Франко","False","средний","свыше 1000 человек","Аутсорсинговая","E-commerce"
10474,"Lviv",700,350,"Software Engineer",1,"0.5","JavaScript",,20,"male","Высшее",,"False","средний","до 50 человек","Аутсорсинговая","E-commerce, Media"
10475,"Херсон",700,0,"Junior Software Engineer",3,1,"JavaScript",,27,"male","Высшее","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Gambling"
10476,"Kharkiv",700,0,"HR",10,2,,,34,"female","Высшее","НТУ «ХПИ»","False","ниже среднего","до 1000 человек","Аутсорсинговая","Data Science, Hardware, Mobile"
10477,"Запорожье",700,200,"Marketing",2,0,,,23,"female","Высшее","Other вуз","False","выше среднего","до 200 человек","Аутсорсинговая","Data Science, E-commerce, Edtech"
10478,"Запорожье",700,200,"Project manager","0.5","0.5",,,24,"female","Высшее","ЗНТУ","False","продвинутый","до 50 человек","Аутсорсинговая","Adtech, Edtech, Mobile"
10479,"Kharkiv",700,250,"QA Engineer",2,1,,"Manual QA",24,"female","Высшее","ХНУРЭ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Adtech, Media"
10480,"Lviv",700,50,"Software Engineer",3,3,"PHP",,32,"male","Кандидат","ЛНУ им. Франко","False","средний","до 10 человек","Аутсорсинговая","Mobile, Інша"
10481,"Kharkiv",700,300,"Junior QA engineer",2,2,,"Manual QA",30,"male","Техникум / Колледж",,"False","ниже среднего","свыше 1000 человек","Аутсорсинговая","Medtech"
10482,"Kharkiv",700,500,"DevOps",2,2,,,23,"male","Высшее","ХАИ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Cloud Computing, High Load Systems, Security"
10483,"Kharkiv",700,150,"Designer",3,2,,,25,"male","Высшее","Other вуз","False","ниже среднего","до 10 человек","Аутсорсинговая","Logistics, Travel"
10484,"Kyiv",700,200,"Junior QA engineer","0.5","0.5",,"Manual QA",25,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Інша"
10485,"Kyiv",700,200,"Junior Software Engineer","0.5","0.5","Swift",,19,"male","Еще студент","НАУ","True","выше среднего","до 200 человек","Аутсорсинговая","Mobile"
10486,"Dnipro",700,200,"Junior QA engineer",1,1,,"Manual QA",23,"male","Высшее","НГУ [Dniproопетровск]","False","средний","до 1000 человек","Продуктовая","Hardware, Інша"
10487,"Kyiv",700,200,"HR",2,2,,,26,"male","Высшее","Other вуз","False","выше среднего","до 200 человек","Аутсорсинговая","E-commerce, ERP, Fintech"
10488,"Lviv",700,400,"Data Scientist",1,"0.25",,,21,"female","Высшее","Lvivская Политехника","False","выше среднего","до 50 человек","Аутсорсинговая","Machine Learning"
10489,"Lviv",700,400,"Junior QA engineer",1,"0.25",,"Manual QA",29,"female","Высшее","ЛНУ им. Франко","False","средний","до 1000 человек","Продуктовая","Medtech"
10490,"Odessa",700,200,"Junior QA engineer","0.5",0,,"Manual QA",32,"male","Среднее",,"False","выше среднего","до 1000 человек","Продуктовая","Інша"
10491,"Other",700,-180,"Designer",6,3,,,36,"male","Высшее","Other вуз","False","ниже среднего","до 50 человек","Продуктовая","Інша"
10492,"Запорожье",700,150,"Designer",2,2,,,28,"male","Два высших","ЗНТУ","False","выше среднего","до 10 человек","Аутсорсинговая","E-commerce, Fintech, Інша"
10493,"Kyiv",700,400,"Junior Software Engineer",1,"0.5","JavaScript",,21,"male","Высшее",,"False","средний","до 10 человек","Стартап","Internet of Things"
10494,"Kyiv",700,207,"Support",1,1,,,22,"female","Высшее","НАУ","False","средний","свыше 1000 человек","Другая","Logistics"
10495,"Lviv",690,200,"QA Engineer",2,2,,"Manual QA",30,"male","Высшее","ЛНУ им. Франко","False","средний","до 200 человек","Продуктовая","Cloud Computing, E-commerce, Travel"
10496,"Kyiv",690,690,"Security Specialist",1,1,,,33,"male","Незаконченное высшее","НАУ","False","средний","до 10 человек","Другая","Security"
10497,"Kyiv",690,0,"Junior QA engineer","0.25","0.25",,"Manual QA",25,"female","Незаконченное высшее","Other вуз","False","ниже среднего","до 1000 человек","Продуктовая","Інша"
10498,"Odessa",684,100,"Project manager",1,1,,,32,"male","Высшее","ОНПУ","False","средний","до 200 человек","Продуктовая","Insurance"
10499,"Kharkiv",680,350,"Junior Software Engineer",1,1,"Java",,30,"male","Высшее","ХНУ им. Каразина","False","средний","свыше 1000 человек","Аутсорсинговая","Big Data, Інша"
10500,"Kyiv",680,200,"Support","0.5","0.5",,,22,"male","Еще студент","КНУ им. Шевченко","True","выше среднего","до 200 человек","Продуктовая","E-commerce, Security"
10501,"Lviv",680,250,"Junior QA engineer",2,"0.5",,"Automation QA",22,"female","Еще студент","Lvivская Политехника","True","средний","свыше 1000 человек","Аутсорсинговая","Інша"
10502,"Kharkiv",680,0,"Junior Software Engineer",1,1,"Swift",,21,"male","Высшее","НТУ «ХПИ»","False","выше среднего","до 50 человек","Аутсорсинговая","Mobile"
10503,"Kyiv",680,100,"Business analyst",1,1,,,44,"male","Кандидат","Other вуз","False","выше среднего","до 10 человек","Другая","Insurance"
10504,"Чернигов",680,200,"QA Engineer",2,2,,"General QA",30,"male","Высшее","Other вуз","False","средний","до 50 человек","Аутсорсинговая","Fintech"
10505,"Kyiv",680,150,"Junior QA engineer","0.25","0.25",,"Manual QA",30,"male","Высшее","Other вуз","False","продвинутый","до 50 человек","Продуктовая","E-commerce, Fintech"
10506,"Odessa",680,230,"Software Engineer",2,1,"JavaScript",,24,"male","Высшее","ОНПУ","False","средний","до 50 человек","Аутсорсинговая","E-commerce"
10507,"Kyiv",680,200,"Junior Software Engineer",1,1,"JavaScript",,20,"female","Еще студент","НТУУ «КПИ»","True","выше среднего","свыше 1000 человек","Аутсорсинговая","E-commerce"
10508,"Dnipro",680,230,"Junior QA engineer",1,1,,"Performance QA",27,"male","Высшее","ДНУ им. Гончара","False","средний","свыше 1000 человек","Продуктовая","E-commerce, Fintech, Mobile"
10509,"Lviv",680,430,"Junior QA engineer",2,1,,"Automation QA",23,"female","Высшее","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Medtech"
10510,"Kyiv",676,188,"Junior Software Engineer",1,1,"JavaScript",,22,"male","Высшее","НАУ","False","средний","до 10 человек","Продуктовая","Інша"
10511,"Kyiv",675,120,"Junior Software Engineer",2,1,"PHP",,27,"male","Высшее","Other вуз","False","элементарный","до 50 человек","Стартап","E-commerce, ERP"
10512,"Lviv",675,250,"Software Engineer",1,1,"Python",,21,"female","Незаконченное высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Security, Telecom"
10513,"Kyiv",675,0,"Business analyst",3,3,,,23,"female","Высшее","КНЭУ","False","выше среднего","до 200 человек","Аутсорсинговая","ERP"
10514,"Dnipro",675,250,"Junior QA engineer",1,1,,"Manual QA",25,"male","Высшее","ДНУЖТ","False","выше среднего","до 200 человек","Аутсорсинговая","Fintech, Mobile"
10515,"Kharkiv",670,200,"Junior Software Engineer",1,1,"JavaScript",,28,"male","Высшее","НТУ «ХПИ»","False","средний","до 50 человек","Аутсорсинговая","Інша"
10516,"Запорожье",670,350,"Junior Software Engineer",1,1,"JavaScript",,27,"male","Высшее","ЗНТУ","False","средний","до 200 человек","Аутсорсинговая","E-commerce"
10517,"Lviv",670,150,"QA Engineer",3,2,,"Manual QA",27,"female","Высшее","ЛНУ им. Франко","False","средний","свыше 1000 человек","Аутсорсинговая","Інша"
10518,"Kharkiv",670,200,"QA Engineer",1,1,,"Manual QA",28,"male","Высшее","НТУ «ХПИ»","False","выше среднего","до 50 человек","Аутсорсинговая","Insurance"
10519,"Dnipro",670,70,"HTML Coder",2,1,,,25,"male","Высшее","Other вуз","False","ниже среднего","до 50 человек","Продуктовая","Internet of Things, Telecom"
10520,"Kyiv",670,110,"QA Engineer",2,2,,"Manual QA",26,"male","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Продуктовая","Mobile, Security, Telecom"
10521,"Odessa",670,110,"HR",2,2,,,23,"female","Высшее","Other вуз","False","средний","до 200 человек","Продуктовая","E-commerce"
10522,"Kyiv",670,320,"Marketing","0.5","0.5",,,23,"female","Высшее","КНУ им. Шевченко","False","средний","свыше 1000 человек","Продуктовая","E-commerce"
10523,"Kharkiv",670,370,"Junior Software Engineer",1,1,"C#/.NET",,20,"female","Незаконченное высшее","ХНУРЭ","False","средний","до 200 человек","Аутсорсинговая","E-commerce, Mobile"
10524,"Черкассы",670,0,"Junior QA engineer",1,1,,"Manual QA",26,"male","Незаконченное высшее","Other вуз","False","средний","до 1000 человек","Аутсорсинговая","Data Science, Fintech, Інша"
10525,"Kharkiv",670,70,"Junior Software Engineer",2,2,"SQL",,23,"female","Высшее","ХНУРЭ","False","ниже среднего","до 1000 человек","Продуктовая","Fintech"
10526,"Kyiv",670,50,"HR",3,0,,,23,"female","Высшее","НАУ","False","выше среднего","до 200 человек","Продуктовая","Інша"
10527,"Сумы",670,300,"QA Engineer",2,2,,"Manual QA",27,"female","Высшее","СумГУ","False","средний","свыше 1000 человек","Продуктовая","Mobile, Telecom"
10528,"Kyiv",670,170,"Junior Software Engineer",1,0,"C++",,25,"male","Высшее","КНЭУ","False","средний","до 200 человек","Продуктовая","GameDev"
10529,"Kyiv",670,200,"Junior Software Engineer",1,1,"JavaScript",,31,"male","Среднее","Other вуз","False","продвинутый","свыше 1000 человек","Аутсорсинговая","ERP"
10530,"Kharkiv",670,170,"HR",3,"0.5",,,26,"female","Высшее","ХНУ им. Каразина","False","элементарный","свыше 1000 человек","Аутсорсинговая","E-commerce, Embedded, Insurance"
10531,"Kyiv",666,-50,"HTML Coder",2,1,,,30,"male","Высшее","Other вуз","False","средний","до 50 человек","Продуктовая","Media"
10532,"Vinnytsia",665,200,"Junior QA engineer",2,1,,"Manual QA",26,"female","Высшее","Other вуз","False","средний","до 200 человек","Аутсорсинговая","Gambling"
10533,"Dnipro",665,0,"HR","0.5","0.5",,,23,"female","Высшее","ДНУЖТ","False","продвинутый","до 1000 человек","Аутсорсинговая","Automotive, Mobile, Інша"
10534,"Kyiv",665,0,"Junior Software Engineer",1,"0.5","Java",,28,"male","Высшее","СумГУ","False","средний","до 50 человек","Продуктовая","Mobile"
10535,"Lviv",665,415,"Data Engineer",1,1,,,20,"male","Еще студент","Lvivская Политехника","True","средний","до 200 человек","Продуктовая","Big Data, Gambling"
10536,"Kyiv",663,0,"Designer",3,"0.5",,,23,"female","Высшее","ЖГТУ","False","ниже среднего","до 1000 человек","Продуктовая","GameDev"
10537,"Kyiv",660,0,"Junior QA engineer","0.5","0.5",,"Manual QA",21,"male","Еще студент","НТУУ «КПИ»","True","средний","до 1000 человек","Продуктовая","Gambling, Інша"
10538,"Dnipro",660,160,"HR",1,"0.25",,,31,"female","Высшее","ДНУ им. Гончара","False","средний","до 200 человек","Аутсорсинговая","E-commerce, Edtech, Fintech"
10539,"Kharkiv",660,400,"Junior Software Engineer",1,1,"Kotlin",,21,"male","Еще студент","ХНУРЭ","True","продвинутый","свыше 1000 человек","Аутсорсинговая","Mobile"
10540,"Kyiv",654,100,"Data Scientist",2,2,,,35,"male","Высшее","Other вуз","False","средний","свыше 1000 человек","Продуктовая","Data Science, Logistics"
10541,"Kyiv",650,200,"Junior Software Engineer",1,1,"Java",,21,"female","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Аутсорсинговая","E-commerce"
10542,"Dnipro",650,250,"QA Engineer",1,1,,"Manual QA",22,"male","Еще студент","ДНУ им. Гончара","True","средний","до 1000 человек","Продуктовая","Інша"
10543,"Kyiv",650,0,"Software Engineer",1,1,"PHP",,21,"male","Высшее","НАУ","False","средний","до 200 человек","Продуктовая","Telecom"
10544,"Dnipro",650,0,"HR",5,2,,,24,"female","Высшее","ДНУ им. Гончара","False","продвинутый","до 50 человек","Аутсорсинговая","Internet of Things, Інша"
10545,"Сумы",650,100,"Junior Software Engineer",1,"0.5","TypeScript",,21,"male","Еще студент","СумГУ","True","ниже среднего","до 10 человек","Стартап","Інша"
10546,"Kharkiv",650,200,"HR",2,"0.5",,,26,"male","Высшее","Other вуз","False","средний","до 50 человек","Аутсорсинговая","E-commerce"
10547,"Kyiv",650,-150,"Junior Software Engineer",1,0,"Java",,21,"male","Еще студент","НТУУ «КПИ»","True","средний","до 200 человек","Аутсорсинговая","Automotive"
10548,"Kyiv",650,150,"HTML Coder",2,1,,,26,"male","Высшее",,"False","ниже среднего","до 200 человек","Продуктовая","Fintech"
10549,"Kharkiv",650,200,"QA Engineer",2,"0.5",,"Manual QA",20,"female","Высшее","НТУ «ХПИ»","False","средний","до 200 человек","Аутсорсинговая","E-commerce"
10550,"Хмельницкий",650,-250,"QA Engineer",4,"0.25",,"Automation QA",23,"male","Высшее","Lvivская Политехника","False","средний","до 50 человек","Аутсорсинговая","E-commerce, Telecom, Інша"
10551,"Lviv",650,0,"Junior Software Engineer","0.5","0.25","Kotlin",,19,"male","Еще студент","Lvivская Политехника","True","ниже среднего","до 10 человек","Аутсорсинговая","Mobile"
10552,"Ivano-Frankivsk",650,250,"Designer","0.5","0.5",,,26,"female","Высшее","Other вуз","False","выше среднего","до 200 человек","Продуктовая","Інша"
10553,"Lviv",650,0,"Junior Software Engineer",2,1,"JavaScript",,32,"male","Высшее","Lvivская Политехника","False","средний","до 50 человек","Продуктовая","Medtech"
10554,"Lviv",650,300,"Junior QA engineer",1,1,,"Manual QA",23,"male","Незаконченное высшее","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Media"
10555,"Запорожье",650,150,"HR",3,2,,,33,"female","Высшее","Other вуз","False","средний","до 50 человек","Аутсорсинговая","E-commerce, Інша"
10556,"Kharkiv",650,0,"HR",3,2,,,26,"female","Высшее","Other вуз","False","средний","до 50 человек","Аутсорсинговая","E-commerce"
10557,"Kyiv",650,0,"Data Scientist",0,0,,,29,"male","Высшее","Other вуз","False","средний","до 200 человек","Продуктовая","Data Science"
10558,"Kyiv",650,0,"HR",3,1,,,27,"female","Высшее","Other вуз","False","ниже среднего","до 200 человек","Аутсорсинговая","GameDev"
10559,"Kyiv",650,200,"Junior QA engineer",1,1,,"Automation QA",21,"male","Еще студент","НТУУ «КПИ»","True","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
10560,"Kyiv",650,0,"HR",3,3,,,31,"female","Высшее","Other вуз","False","продвинутый","до 50 человек","Продуктовая","GameDev"
10561,"Kharkiv",650,350,"Sales manager",2,2,,,21,"male","Еще студент","Other вуз","True","выше среднего","до 200 человек","Аутсорсинговая","Edtech"
10562,"Lviv",650,650,"QA Engineer",1,1,,"Manual QA",30,"female","Высшее","КНУ им. Шевченко","False","средний","свыше 1000 человек","Аутсорсинговая","E-commerce"
10563,"Odessa",650,650,"Junior Software Engineer",0,0,"JavaScript",,27,"male","Незаконченное высшее",,"False","ниже среднего","до 10 человек","Аутсорсинговая","Інша"
10564,"Odessa",650,200,"Junior QA engineer",1,1,,"Manual QA",24,"male","Высшее","Other вуз","False","средний","до 1000 человек","Продуктовая","E-commerce"
10565,"Запорожье",650,350,"Marketing",2,2,,,22,"female","Еще студент","Other вуз","True","выше среднего","до 200 человек","Аутстаффинговая","Edtech, Internet of Things, Logistics"
10566,"Vinnytsia",650,250,"Junior QA engineer",2,1,,"Manual QA",28,"male","Высшее","Other вуз","False","ниже среднего","до 200 человек","Аутсорсинговая","Mobile"
10567,"Kyiv",650,0,"Copywriter",10,2,,,45,"female","Два высших","НТУУ «КПИ»","False","выше среднего","до 50 человек","Продуктовая","Cloud Computing"
10568,"Kharkiv",650,50,"Support",2,2,,,24,"male","Высшее","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
10569,"Kyiv",650,150,"Designer","0.5","0.5",,,23,"female","Высшее","КНУ им. Шевченко","False","выше среднего","до 1000 человек","Продуктовая","Інша"
10570,"Lviv",650,650,"Junior Software Engineer","0.5","0.5","JavaScript",,23,"male","Высшее","Lvivская Политехника","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Media"
10571,"Kyiv",650,300,"Junior Software Engineer",1,"0.5","C#/.NET",,20,"male","Незаконченное высшее",,"False","ниже среднего","до 50 человек","Стартап","Hardware, Security"
10572,"Ivano-Frankivsk",650,400,"Junior Software Engineer",1,1,"JavaScript",,24,"male","Высшее","Other вуз","False","выше среднего","до 200 человек","Аутстаффинговая","E-commerce, Logistics, Travel"
10573,"Vinnytsia",650,350,"Support",1,1,,,21,"male","Высшее","ВНТУ","False","средний","до 1000 человек","Аутсорсинговая","Інша"
10574,"Kharkiv",650,200,"Software Engineer","0.5","0.5","C++",,19,"male","Еще студент","ХНУРЭ","True","средний","до 50 человек","Продуктовая","Telecom"
10575,"Kyiv",650,250,"Project manager",1,1,,,21,"female","Еще студент","КНУ им. Шевченко","True","выше среднего","до 200 человек","Продуктовая","Internet of Things"
10576,"Kyiv",650,150,"SysAdmin",3,"0.5",,,28,"male","Высшее","Other вуз","False","ниже среднего","до 1000 человек","Продуктовая","Fintech, Gambling, Media"
10577,"Chernivtsi",650,100,"Junior Software Engineer",2,1,"TypeScript",,34,"male","Высшее","ЧНУ им. Федьковича","False","элементарный","до 50 человек","Стартап","Інша"
10578,"Kyiv",650,200,"Junior QA engineer",1,1,,"Manual QA",29,"female","Высшее","КНУ им. Шевченко","False","средний","до 50 человек","Аутсорсинговая","ERP"
10579,"Lviv",650,200,"Software Engineer",3,0,"JavaScript",,23,"male","Высшее",,"False","выше среднего","до 10 человек","Аутсорсинговая","E-commerce"
10580,"Lviv",650,0,"Designer",7,4,,,29,"male","Высшее",,"False","ниже среднего","до 50 человек","Продуктовая","Media"
10581,"Lviv",650,100,"Junior Software Engineer",1,1,"SQL",,27,"male","Высшее","ЛНУ им. Франко","False","выше среднего","до 50 человек","Аутсорсинговая","ERP"
10582,"Kharkiv",650,650,"Junior Software Engineer","0.5","0.5","C++",,19,"male","Еще студент","ХНЭУ","True","выше среднего","до 200 человек","Продуктовая","High Load Systems, Інша"
10583,"Ivano-Frankivsk",650,150,"Business analyst",1,3,,,24,"female","Высшее","Other вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","ERP"
10584,"Lviv",650,200,"Junior Software Engineer",2,1,"PHP",,21,"male","Еще студент","Lvivская Политехника","True","ниже среднего","до 200 человек","Аутсорсинговая","E-commerce"
10585,"Dnipro",650,0,"Project manager",3,1,,,24,"male","Высшее","НметАУ","False","элементарный","свыше 1000 человек","Другая","Fintech"
10586,"Кривой Рог",650,0,"Marketing",4,"0.25",,,26,"male","Техникум / Колледж",,"False","средний","до 10 человек","Аутсорсинговая","E-commerce"
10587,"Чернигов",650,0,"Sales manager",4,1,,,35,"female","Высшее","ЧНТУ","False","выше среднего","до 200 человек","Аутстаффинговая","Fintech, Media, Mobile"
10588,"Kyiv",650,50,"Junior Software Engineer",2,1,"JavaScript",,38,"male","Высшее","НАУ","False","выше среднего","до 50 человек","Аутстаффинговая","E-commerce"
10589,"Ivano-Frankivsk",650,250,"Junior Software Engineer",2,2,"JavaScript",,21,"female","Высшее","Other вуз","False","выше среднего","до 200 человек","Аутсорсинговая","Legal"
10590,"Kyiv",650,0,"Sales manager",1,"0.5",,,24,"female","Два высших","Other вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","E-commerce"
10591,"Kyiv",650,100,"QA Engineer",1,1,,"Manual QA",28,"male","Высшее","НТУУ «КПИ»","False","элементарный","свыше 1000 человек","Продуктовая","Data Science, Mobile"
10592,"Kyiv",650,0,"Junior QA engineer","0.25",2,,"Manual QA",22,"male","Еще студент","Other вуз","True","средний","свыше 1000 человек","Продуктовая","Mobile, Security"
10593,"Kharkiv",650,-50,"HR",2,2,,,25,"female","Высшее","ХНУ им. Каразина","False","ниже среднего","до 200 человек","Аутсорсинговая","Edtech"
10594,"Kharkiv",650,400,"Junior Software Engineer",1,1,"JavaScript",,19,"male","Еще студент","ХНУРЭ","True","средний","до 1000 человек","Аутсорсинговая","Cloud Computing, Data Science, Media"
10595,"Kyiv",650,50,"SysAdmin",1,"0.5",,,23,"male","Незаконченное высшее","ГУТ","False","ниже среднего","до 200 человек","Другая","Інша"
10596,"Kharkiv",650,400,"QA Engineer",1,1,,"Manual QA",22,"female","Техникум / Колледж",,"False","элементарный","до 50 человек","Продуктовая","Media"
10597,"Vinnytsia",650,0,"QA Engineer",3,1,,"Manual QA",28,"male","Высшее","ВНТУ","False","средний","до 1000 человек","Аутсорсинговая","E-commerce, Mobile"
10598,"Kyiv",650,200,"HR",3,3,,,22,"female","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Другая","Big Data, Fintech, Gambling"
10599,"Kyiv",650,50,"Junior QA engineer",1,0,,"Manual QA",33,"male","Два высших","НТУУ «КПИ»","False","средний","до 50 человек","Продуктовая","E-commerce, Gambling, GameDev"
10600,"Kyiv",650,300,"Data Scientist",1,1,,,22,"male","Еще студент","НТУУ «КПИ»","True","средний","до 10 человек","Аутсорсинговая","Data Science, Machine Learning"
10601,"Kyiv",650,200,"Project manager","0.5","0.25",,,22,"male","Незаконченное высшее","Other вуз","False","выше среднего","до 50 человек","Аутсорсинговая","E-commerce"
10602,"Kharkiv",650,0,"HR",2,1,,,34,"female","Высшее","ХНУ им. Каразина","False","средний","до 200 человек","Аутсорсинговая","Big Data, Data Science"
